2017-09-19T20:29:26.247625+00:00 app[web.1]:  2017-09-19 20:29:26,247 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@105189a]
2017-09-19T20:29:26.260464+00:00 app[web.1]:  2017-09-19 20:29:26,260 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.260470+00:00 app[web.1]:  2017-09-19 20:29:26,260 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@46ea65b9]
2017-09-19T20:29:26.261573+00:00 app[web.1]:  2017-09-19 20:29:26,261 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.261673+00:00 app[web.1]:  2017-09-19 20:29:26,261 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@46ea65b9] after transaction
2017-09-19T20:29:26.261675+00:00 app[web.1]:  2017-09-19 20:29:26,261 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.261804+00:00 app[web.1]:  2017-09-19 20:29:26,261 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:29:26.261911+00:00 app[web.1]:  2017-09-19 20:29:26,261 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@b0ceef6] for JPA transaction
2017-09-19T20:29:26.261998+00:00 app[web.1]:  2017-09-19 20:29:26,261 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@2264e6c5]
2017-09-19T20:29:26.275750+00:00 app[web.1]:  2017-09-19 20:29:26,275 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.275755+00:00 app[web.1]:  2017-09-19 20:29:26,275 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@b0ceef6]
2017-09-19T20:29:26.276853+00:00 app[web.1]:  2017-09-19 20:29:26,276 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.276943+00:00 app[web.1]:  2017-09-19 20:29:26,276 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@b0ceef6] after transaction
2017-09-19T20:29:26.276945+00:00 app[web.1]:  2017-09-19 20:29:26,276 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.277124+00:00 app[web.1]:  2017-09-19 20:29:26,277 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
